doi,funderName,funderID,funderIDtype,awardNumber,awardTitle,indexID,funderIndex
10.5061/dryad.s7h44j1fx,National Science Foundation,https://ror.org/021nxhr62,ROR,NA,NA,19,1
10.5061/dryad.6m905qg41,Oklahoma Department of Wildlife Conservation,https://ror.org/00bnq0b88,ROR,NA,NA,20,1
10.5061/dryad.1c59zw445,North Carolina Department of Agriculture and Consumer Services,https://ror.org/0397b2492,ROR,NCSU 2013-352,NA,32,1
10.5061/dryad.1c59zw445,United States Department of Energy,https://ror.org/01bj3aw27,ROR,E-EE0008523,NA,32,2
10.5061/dryad.1c59zw445,United States Department of Agriculture,https://ror.org/01na82s61,ROR,NC02812,NA,32,3
10.5061/dryad.1c59zw445,North Carolina Department of Agriculture and Consumer Services,https://ror.org/0397b2492,ROR,G40100279014RSD,NA,32,4
10.5061/dryad.1c59zw445,United States Department of Energy,https://ror.org/01bj3aw27,ROR,0001,NA,32,5
10.5061/dryad.5x69p8dck,United States Department of Agriculture,https://ror.org/01na82s61,ROR,NA,NA,33,1
10.5281/zenodo.6516934,European Commission,10.13039/501100000780,Crossref Funder ID,773554,"Stacking of ecosystem services: mechanisms and interactions for optimal crop protection, pollination enhancement, and productivity",34,1
10.5281/zenodo.11209925,European Commission,10.13039/501100000780,Crossref Funder ID,773554,"Stacking of ecosystem services: mechanisms and interactions for optimal crop protection, pollination enhancement, and productivity",35,1
10.5281/zenodo.7230652,European Commission,https://doi.org/10.13039/100010661,Crossref Funder ID,773554,"Stacking of ecosystem services: mechanisms and interactions for optimal crop protection, pollination enhancement, and productivity",36,1
10.5281/zenodo.6516935,European Commission,https://doi.org/10.13039/501100000780,Crossref Funder ID,773554,"Stacking of ecosystem services: mechanisms and interactions for optimal crop protection, pollination enhancement, and productivity",37,1
10.5061/dryad.jwstqjqc1,National Science Foundation,https://ror.org/021nxhr62,ROR,2225683,NA,40,1
10.5061/dryad.7sqv9s50s,National Science Foundation,https://ror.org/021nxhr62,ROR,NSF-REU 1950805,NA,41,1
10.5061/dryad.7sqv9s50s,National Science Foundation,https://ror.org/021nxhr62,ROR,NSF-IQ-BIO REU 1852259,NA,41,2
10.5061/dryad.7sqv9s50s,National Science Foundation,https://ror.org/021nxhr62,ROR,NSF-PIRE 1545803,NA,41,3
10.5061/dryad.tdz08kq65,Dow Agrosciences (United States),https://ror.org/05atyvn45,ROR,NA,NA,42,1
10.5061/dryad.6djh9w172,South Central Climate Adaptation Science Center,https://ror.org/05066y189,ROR,NA,NA,43,2
10.5061/dryad.6djh9w172,Oklahoma Department of Wildlife Conservation,https://ror.org/00bnq0b88,ROR,NA,NA,43,3
10.5061/dryad.7h44j101d,Natural Sciences and Engineering Research Council,https://ror.org/01h531d29,ROR,Discovery Grant,NA,44,1
10.5061/dryad.cjsxksncq,Texas A&M AgriLife Research,https://doi.org/10.13039/100019191,Crossref Funder ID,Hatch H-8310,NA,45,2
10.5061/dryad.vx0k6djzn,National Science Foundation,https://ror.org/021nxhr62,ROR,1826820,NA,46,1
10.5061/dryad.wwpzgmsqv,United States Geological Survey,https://ror.org/035a68863,ROR,G21AC10387-00,NA,47,1
10.5061/dryad.9p8cz8wnf,National Science Foundation,https://ror.org/021nxhr62,ROR,2010251,NA,48,1
10.5061/dryad.9p8cz8wnf,United States Department of Agriculture,https://ror.org/01na82s61,ROR,1025651,NA,48,2
10.5061/dryad.q83bk3jpd,Eunice Kennedy Shriver National Institute of Child Health and Human Development,https://ror.org/04byxyr05,ROR,R01HD059858,NA,49,1
10.5061/dryad.r4xgxd2k4,National Science Foundation,https://ror.org/021nxhr62,ROR,DBI-1907051,NA,50,1
10.25338/b8g063,Division of Mathematical Sciences,https://ror.org/051fftw81,ROR,1817124,NA,51,1
10.5061/dryad.x95x69pq6,DEVCOM Army Research Laboratory,https://ror.org/011hc8f90,ROR,W911NF1510358,NA,52,1
10.5061/dryad.x95x69pq6,National Science Foundation,https://ror.org/021nxhr62,ROR,1706762,NA,52,2
10.5061/dryad.83bk3j9x1,Dow Agrosciences (United States),https://ror.org/05atyvn45,ROR,NA,NA,53,1
10.5061/dryad.m37pvmd71,National Science Foundation,https://ror.org/021nxhr62,ROR,MSB 1802453,NA,54,1
10.5061/dryad.m37pvmd71,National Science Foundation,https://ror.org/021nxhr62,ROR,DEB 1831944,NA,54,2
10.5061/dryad.m37pvmd71,National Science Foundation,https://ror.org/021nxhr62,ROR,DBI 2021898,NA,54,3
10.5061/dryad.m37pvmd71,National Council for Scientific and Technological Development,https://ror.org/03swz6y49,ROR,311362/2019-2,NA,54,4
10.5061/dryad.pvmcvdnr0,The Nature Conservancy,https://ror.org/0563w1497,ROR,NA,NA,55,1
10.5061/dryad.7wm37pvz0,Oklahoma Department of Wildlife Conservation,https://ror.org/00bnq0b88,ROR,NA,NA,57,1
10.5061/dryad.63xsj3v6g,National Institute of Food and Agriculture,https://ror.org/05qx3fv49,ROR,2020-67019-31153,NA,58,1
10.5061/dryad.1g1jwsv1f,Oklahoma Department of Wildlife Conservation,https://ror.org/00bnq0b88,ROR,NA,NA,59,1
10.5061/dryad.z612jm6gb,National Science Foundation,https://ror.org/021nxhr62,ROR,2109850,NA,60,1
10.5061/dryad.z612jm6gb,California Academy of Sciences,https://ror.org/02wb73912,ROR,NA,NA,60,2
10.5061/dryad.z612jm6gb,Division of Biological Infrastructure,https://ror.org/04qn9mx93,ROR,1902511,NA,60,3
10.5061/dryad.z612jm6gb,Division of Environmental Biology,https://ror.org/03g87he71,ROR,1655812,NA,60,4
10.5061/dryad.z612jm6gb,Division of Integrative Organismal Systems,https://ror.org/01rvays47,ROR,1942893,NA,60,5
10.5061/dryad.9w0vt4bkc,National Science Foundation,https://ror.org/021nxhr62,ROR,IOS-1942893,NA,61,1
10.5061/dryad.547d7wmcq,The Nature Conservancy,https://ror.org/0563w1497,ROR,NA,NA,62,1
10.5061/dryad.rn8pk0pfw,National Science Foundation of Sri Lanka,https://ror.org/010xaa060,ROR,NA,NA,63,1
10.5061/dryad.qfttdz0mk,United States-Israel Binational Science Foundation,https://ror.org/00j8z2m73,ROR,BSF 2021030,NA,65,1
10.5061/dryad.2ngf1vhs1,National Institute of General Medical Sciences,https://ror.org/04q48ey07,ROR,R35GM138018,NA,67,1
10.5061/dryad.f7m0cfz0n,National Science Foundation of Sri Lanka,https://ror.org/010xaa060,ROR,DEB-1655690,NA,68,1
10.6078/d11q63,Division of Environmental Biology,https://ror.org/03g87he71,ROR,DEB-1542534,NA,69,1
10.25338/b87647,Oklahoma State University System,https://ror.org/045ntgf29,ROR,NA,NA,71,1
10.5061/dryad.7pvmcvdwx,National Science Foundation,https://ror.org/021nxhr62,ROR,DBI-1907051,NA,72,1
10.5061/dryad.7pvmcvdwx,National Science Foundation,https://ror.org/021nxhr62,ROR,DEB 1655690,NA,72,2
10.5061/dryad.hmgqnk9m3,Oklahoma Department of Wildlife Conservation,https://ror.org/00bnq0b88,ROR,NA,NA,73,1
10.6078/d15m69,National Science Foundation,https://ror.org/021nxhr62,ROR,1542534,NA,75,1
10.5061/dryad.djh9w0w2s,National Institute of Food and Agriculture,https://ror.org/05qx3fv49,ROR,OKL-03085,NA,77,1
10.5061/dryad.tqjq2bw22,National Institute on Deafness and Other Communication Disorders,https://ror.org/04mhx6838,ROR,NIDCD 3T32DC012280-05S1,NA,78,1
10.5061/dryad.tqjq2bw22,National Institutes of Health,https://ror.org/01cwqze88,ROR,NIDCD R01 17924,NA,78,2
10.5061/dryad.tqjq2bw22,National Institutes of Health,https://ror.org/01cwqze88,ROR,NIDCD R01 18401,NA,78,3
10.5061/dryad.tqjq2bw22,National Institutes of Health,https://ror.org/01cwqze88,ROR,NIDCD R01 01919,NA,78,4
10.5061/dryad.tqjq2bw22,Eunice Kennedy Shriver National Institute of Child Health and Human Development,https://ror.org/04byxyr05,ROR,NICHD 1R15HD105231-01,NA,78,5
10.5061/dryad.tqjq2bw22,National Science Foundation,https://ror.org/021nxhr62,ROR,1655494,NA,78,6
10.5061/dryad.cvdncjt6f,Oklahoma Department of Wildlife Conservation,https://ror.org/00bnq0b88,ROR,NA,NA,79,1
10.5061/dryad.hx3ffbggp,National Science Foundation,https://ror.org/021nxhr62,ROR,DEB-1655812,NA,80,1
10.5061/dryad.hx3ffbggp,National Science Foundation,https://ror.org/021nxhr62,ROR,DEB-1655690,NA,80,2
10.5061/dryad.n02v6wx0d,Oklahoma Department of Wildlife Conservation,https://ror.org/00bnq0b88,ROR,NA,NA,82,1
10.5061/dryad.k3j9kd59k,United States Fish and Wildlife Service,https://ror.org/04k7dar27,ROR,201818J846,NA,83,1
10.6078/d1142q,Oklahoma Biological Survey,https://ror.org/043cb6104,ROR,NA,NA,85,3
10.5061/dryad.xksn02vhs,Division of Integrative Organismal Systems,https://ror.org/01rvays47,ROR,IOS#0924289,NA,87,1
10.5061/dryad.xksn02vhs,Division of Integrative Organismal Systems,https://ror.org/01rvays47,ROR,IOS#1256867,NA,87,2
10.5061/dryad.xksn02vhs,University of Oklahoma,https://ror.org/02aqsxs83,ROR,LJW01,NA,87,3
10.5061/dryad.0zpc86701,National Science Foundation,https://ror.org/021nxhr62,ROR,IOS-1413824,NA,88,1
10.5061/dryad.n2z34tmzb,Genome Canada,https://ror.org/029s29983,ROR,NA,NA,90,1
10.5061/dryad.n2z34tmzb,Genome Alberta,https://ror.org/0008rqs82,ROR,NA,NA,90,2
10.5061/dryad.n2z34tmzb,Genome British Columbia,https://ror.org/03gne5057,ROR,NA,NA,90,3
10.5061/dryad.q2bvq83kw,National Science Foundation,https://ror.org/021nxhr62,ROR,IOS-1557860,NA,92,1
10.5061/dryad.q2bvq83kw,National Science Foundation,https://ror.org/021nxhr62,ROR,IOS-1931657,NA,92,2
10.5061/dryad.05qfttf3w,National Science Foundation,https://ror.org/021nxhr62,ROR,NA,NA,93,2
10.5061/dryad.mw6m905xh,European Research Council,https://ror.org/0472cxd90,ROR,FP7/2007-2013,NA,94,1
10.5061/dryad.mw6m905xh,Science Foundation Ireland,https://ror.org/0271asj38,ROR,14/ERC/B3118,NA,94,2
10.5061/dryad.sxksn033w,National Science Foundation,https://ror.org/021nxhr62,ROR,1339332,NA,97,1
10.5061/dryad.ncjsxksvx,Oklahoma Department of Wildlife Conservation,https://ror.org/00bnq0b88,ROR,F15AF00615,NA,98,1
10.5061/dryad.3r2280ggv,National Science Foundation,https://ror.org/021nxhr62,ROR,DMS 1616186,NA,99,1
10.5061/dryad.3r2280ggv,National Science Foundation,https://ror.org/021nxhr62,ROR,DEB 1457510,NA,99,2
10.5061/dryad.3r2280ggv,National Science Foundation,https://ror.org/021nxhr62,ROR,DEB 1457473,NA,99,3
10.5061/dryad.t4b8gtj2m,National Science Foundation,https://ror.org/021nxhr62,ROR,IOS-1942893,NA,100,1
10.5061/dryad.t4b8gtj2m,National Science Foundation,https://ror.org/021nxhr62,ROR,DEB-1655812,NA,100,2
10.5061/dryad.t4b8gtj2m,Oklahoma State University System,https://ror.org/045ntgf29,ROR,Startup funding to DSM,NA,100,3
10.5061/dryad.z612jm6cg,Oklahoma Department of Wildlife Conservation,https://ror.org/00bnq0b88,ROR,Federal Aid Grant No. F11AF00069 (W-165-R-1),NA,101,1
10.5061/dryad.t4b8gtj2d,National Science Foundation,https://ror.org/021nxhr62,ROR,OIA-1301789,NA,102,1
10.5061/dryad.t76hdr81b,Oklahoma Department of Wildlife Conservation,https://ror.org/00bnq0b88,ROR,NA,NA,103,1
10.5061/dryad.pzgmsbcm8,"Consejo Nacional de Humanidades, Ciencias y Tecnologías",https://ror.org/059ex5q34,ROR,585440,NA,104,2
10.5061/dryad.m0cfxpp43,European Research Council,https://ror.org/0472cxd90,ROR,617509,NA,105,1
10.5061/dryad.m0cfxpp43,Science Foundation Ireland,https://ror.org/0271asj38,ROR,14/ERC/B3118,NA,105,2
10.5061/dryad.vq83bk3sj,Deutsche Forschungsgemeinschaft,https://ror.org/018mejw64,ROR,NU292/4-1,NA,106,1
10.5061/dryad.vq83bk3sj,Coordenação de Aperfeicoamento de Pessoal de Nível Superior,https://ror.org/00x0ma614,ROR,#1514632,NA,106,2
10.25338/b8sh0s,National Science Foundation,https://ror.org/021nxhr62,ROR,1817124,NA,107,1
10.5061/dryad.w9ghx3fpp,National Science Foundation,https://ror.org/021nxhr62,ROR,MRI-1531128,NA,109,1
10.5061/dryad.w9ghx3fpp,National Science Foundation,https://ror.org/021nxhr62,ROR,DEB-1655812,NA,109,2
10.5061/dryad.k6djh9w61,United States Department of Agriculture,https://ror.org/01na82s61,ROR,ND02394,NA,110,1
10.5061/dryad.fn2z34tss,Oklahoma Department of Wildlife Conservation,https://ror.org/00bnq0b88,ROR,F17AP00203,NA,111,1
10.5061/dryad.05qfttf28,Deutsche Forschungsgemeinschaft,https://ror.org/018mejw64,ROR,596/1-1 (32951824),NA,114,1
10.5061/dryad.05qfttf28,Deutsche Forschungsgemeinschaft,https://ror.org/018mejw64,ROR,"596/1-2 (430158535, SPP 2205)",NA,114,2
10.5061/dryad.05qfttf28,Deutsche Forschungsgemeinschaft,https://ror.org/018mejw64,ROR,Ro 547/12-1,NA,114,3
10.5061/dryad.05qfttf28,National Science Foundation,https://ror.org/021nxhr62,ROR,IRFP 1158968,NA,114,4
10.5061/dryad.rfj6q578p,National Science Foundation,https://ror.org/021nxhr62,ROR,"
        BSR-8914686, DEB-9629529, DEB-0089680, DEB-0640932, DEB-1242510, and
        IOS-1257857
      ",NA,116,1
10.5061/dryad.rfj6q578p,National Institute on Aging,https://ror.org/049v75w11,ROR,R01AG049416,NA,116,2
10.5061/dryad.31zcrjdjr,European Research Council,https://ror.org/0472cxd90,ROR,641918,NA,117,1
10.5061/dryad.31zcrjdjr,European Research Council,https://ror.org/0472cxd90,ROR,794760,NA,117,2
10.5061/dryad.31zcrjdjr,National Science Foundation,https://ror.org/021nxhr62,ROR,GRF 1252375,NA,117,3
10.5061/dryad.31zcrjdjr,National Science Foundation,https://ror.org/021nxhr62,ROR,DEB 0919383,NA,117,4
10.5061/dryad.31zcrjdjr,Alaska Department of Fish and Game,https://ror.org/02rh7vj17,ROR,NA,NA,117,5
10.5061/dryad.31zcrjdjr,United States Department of the Interior,https://ror.org/03v0pmy70,ROR,NA,NA,117,6
10.5061/dryad.31zcrjdjr,Frankfurt Zoological Society,https://ror.org/002827k23,ROR,NA,NA,117,10
10.5061/dryad.31zcrjdjr,Knobloch Family Foundation,https://ror.org/052nwcv16,ROR,NA,NA,117,12
10.5061/dryad.31zcrjdjr,Muley Fanatic Foundation,https://ror.org/037gaxk79,ROR,NA,NA,117,14
10.5061/dryad.31zcrjdjr,Parks Canada,https://ror.org/008sy4716,ROR,NA,NA,117,16
10.5061/dryad.31zcrjdjr,University of Wyoming,https://ror.org/01485tq96,ROR,Berry Fellowship,NA,117,18
10.5061/dryad.31zcrjdjr,United States Department of Agriculture,https://ror.org/01na82s61,ROR,NA,NA,117,19
10.5061/dryad.31zcrjdjr,National Institute of Food and Agriculture,https://ror.org/05qx3fv49,ROR,2014-01928,NA,117,20
10.5061/dryad.31zcrjdjr,Wyoming Wildlife and Natural Resource Trust,https://ror.org/0275a3771,ROR,NA,NA,117,26
10.5061/dryad.bk3j9kd9g,European Research Council,https://ror.org/0472cxd90,ROR,ERC Consolidator Grant “Evoecocog” Project No. 617509,NA,119,1
10.5061/dryad.bk3j9kd9g,Science Foundation Ireland,https://ror.org/0271asj38,ROR,NA,NA,119,3
10.5061/dryad.z612jm69w,Oklahoma Department of Wildlife Conservation,https://ror.org/00bnq0b88,ROR,F18AF00110,NA,120,1
10.5061/dryad.34tmpg4ht,National Science Foundation,https://ror.org/021nxhr62,ROR,#1745197,NA,121,1
10.5061/dryad.bcc2fqz9w,National Science Foundation,https://ror.org/021nxhr62,ROR,IOS-1353703,NA,122,1
10.5061/dryad.bcc2fqz9w,National Science Foundation,https://ror.org/021nxhr62,ROR,IOS-1353743,NA,122,2
10.5061/dryad.bcc2fqz9w,National Science Foundation,https://ror.org/021nxhr62,ROR,IOS-1353691,NA,122,3
10.5061/dryad.bcc2fqz9w,National Science Foundation,https://ror.org/021nxhr62,ROR,IOS-1353683,NA,122,4
10.5061/dryad.02v6wwq1n,National Research Foundation of Korea,https://ror.org/013aysd81,ROR,NRF-2017R1A2B4006761,NA,123,1
10.5061/dryad.1zcrjdfqg,European Research Council,https://ror.org/0472cxd90,ROR,617509,NA,124,1
10.5061/dryad.1zcrjdfqg,Science Foundation Ireland,https://ror.org/0271asj38,ROR,14/ERC/B3118,NA,124,2
10.5061/dryad.z08kprr9s,National Science Foundation,https://ror.org/021nxhr62,ROR,DEB-1655812,NA,125,1
10.5061/dryad.z08kprr9s,National Science Foundation,https://ror.org/021nxhr62,ROR,DEB-1655690,NA,125,2
10.5061/dryad.z08kprr9s,National Science Foundation,https://ror.org/021nxhr62,ROR,IOS-1942893,NA,125,3
10.5061/dryad.h70rxwdgj,Office of Biological and Environmental Research,https://ror.org/0114b2m14,ROR,DE-FC02-07ER64494,NA,129,1
10.5061/dryad.h70rxwdgj,Office of Biological and Environmental Research,https://ror.org/0114b2m14,ROR,DE-SC0014156,NA,129,2
10.5061/dryad.h70rxwdgj,Office of Biological and Environmental Research,https://ror.org/0114b2m14,ROR,DE-SC0017883,NA,129,3
10.5061/dryad.h70rxwdgj,Office of Biological and Environmental Research,https://ror.org/0114b2m14,ROR,DE-SC0018409,NA,129,4
10.5061/dryad.h70rxwdgj,Division of Integrative Organismal Systems,https://ror.org/01rvays47,ROR,IOS-1444533,NA,129,5
10.5061/dryad.h70rxwdgj,Division of Integrative Organismal Systems,https://ror.org/01rvays47,ROR,IOS-0922457,NA,129,6
10.5061/dryad.h70rxwdgj,Office of Science,https://ror.org/00mmn6b08,ROR,DE-AC02-05CH11231,NA,129,7
10.5061/dryad.5hqbzkh2x,National Science Foundation,https://ror.org/021nxhr62,ROR,IOS-1353703,NA,133,1
10.7280/d1295x,National Science Foundation,https://ror.org/021nxhr62,ROR,DEB-1655812,NA,134,1
10.5061/dryad.nk98sf7pz,Oklahoma State University,https://ror.org/01g9vbr38,ROR,NA,NA,137,2
