doi,funderName,funderID,funderIDtype,awardNumber,awardTitle,indexID,funderIndex
10.5061/dryad.cn63cj7,National Science Foundation,https://ror.org/021nxhr62,ROR,1256867,NA,150,1
10.5061/dryad.df564,National Science Foundation,https://ror.org/021nxhr62,ROR,OIA-1301789,NA,153,1
10.5061/dryad.7p02c,National Science Foundation,https://ror.org/021nxhr62,ROR,DEB 07-16149,NA,155,1
10.5061/dryad.6fv68,National Science Foundation,https://ror.org/021nxhr62,ROR,DEB-0842327,NA,159,1
10.5061/dryad.f30r1,National Science Foundation,https://ror.org/021nxhr62,ROR,"
        U.S. National Science Foundation (NSF-IOS-OEI) collaborative grants
        #0924289 and #1256881 to Lawrence J. Weider and Grant #0924401 to
        Punidan Jeyasingh.
      ",NA,163,1
10.5061/dryad.r8ph6,National Science Foundation,https://ror.org/021nxhr62,ROR,Grant No. IIA-1301789 and Grant No.1413900,NA,170,1
10.5285/ea6ff6d0-a2da-418f-ac6f-7e6b777e40c5,Natural Environment Research Council,https://ror.org/02b5d8509,ROR,NE/P011578/1,NA,194,1
10.5281/zenodo.5738015,National Science Foundation,https://doi.org/10.13039/100000001,Crossref Funder ID,1838988,EAGER:  Combining elemental and biochemical measures of prey to improve predictions of trophic transfers of nutrients,258,1
10.5281/zenodo.5738015,Research Councils UK,https://doi.org/10.13039/501100000690,Crossref Funder ID,BB/M009122/1,"South West Biosciences: A Doctoral Training Programme for Bioscience students at Bristol, Bath, Cardiff, Exeter and Rothamsted Research",258,2
10.5281/zenodo.5738015,Research Councils UK,https://doi.org/10.13039/501100000690,Crossref Funder ID,NE/L002434/1,GW4+ - a consortium of excellence in innovative research training,258,3
10.5281/zenodo.5738015,Research Councils UK,https://doi.org/10.13039/501100000690,Crossref Funder ID,BBS/E/C/000J0200,The Rothamsted Insect Survey - National Capability,258,4
10.5281/zenodo.5738016,National Science Foundation,https://doi.org/10.13039/100000001,Crossref Funder ID,1838988,EAGER:  Combining elemental and biochemical measures of prey to improve predictions of trophic transfers of nutrients,259,1
10.5281/zenodo.5738016,Research Councils UK,https://doi.org/10.13039/501100000690,Crossref Funder ID,BB/M009122/1,"South West Biosciences: A Doctoral Training Programme for Bioscience students at Bristol, Bath, Cardiff, Exeter and Rothamsted Research",259,2
10.5281/zenodo.5738016,Research Councils UK,https://doi.org/10.13039/501100000690,Crossref Funder ID,NE/L002434/1,GW4+ - a consortium of excellence in innovative research training,259,3
10.5281/zenodo.5738016,Research Councils UK,https://doi.org/10.13039/501100000690,Crossref Funder ID,BBS/E/C/000J0200,The Rothamsted Insect Survey - National Capability,259,4
10.5061/dryad.1g1jwsv1f,Hatch Program*,NA,NA,OKL03193,NA,59,4
10.5061/dryad.pzgmsbcpx,National Institute for Agriculture*,NA,NA,2018-68008-28090,NA,76,1
10.5061/dryad.pzgmsbcpx,National Institute for Agriculture*,NA,NA,2020-67019-31153,NA,76,2
10.5061/dryad.cvdncjt6f,Hatch Program funding*,NA,NA,OKL03193,NA,79,2
10.5061/dryad.n02v6wx0d,Hatch Program*,NA,NA,OKL03193,NA,82,2
10.5061/dryad.pzgmsbcm8,CONACyT*,NA,NA,585440,NA,104,1
10.5061/dryad.vq83bk3sj,CNPQ – Productivity Fellowship*,NA,NA,307396/2019-3,NA,106,3
10.5061/dryad.bk3j9kd9g,Leverhulme Trust Early Career Fellowship*,NA,NA,ECF-2018-700,NA,119,2
10.5061/dryad.bk3j9kd9g,Leverhulme Trust Early Career Fellowship,NA,NA,ECF-2018-700,NA,119,4
10.5061/dryad.gtht76hjh,"Eusko Jaurlaritza, Department of the Environment *",NA,NA,"
        Subvenciones 2019 a entidades privadas que realicen proyectos para la
        generación de conocimiento en la conservación del Patrimonio Natural
      ",NA,127,1
10.5061/dryad.gtht76hjh,Aurrenak S. Coop*,NA,NA,Subvenciones 2019,NA,127,2
10.5061/dryad.gtht76hjh,"Eusko Jaurlaritza, Department of the Environment",NA,NA,"
        Subvenciones 2019 a entidades privadas que realicen proyectos para la
        generación de conocimiento en la conservación del Patrimonio Natural
      ",NA,127,3
10.5061/dryad.gtht76hjh,Aurrenak S. Coop,NA,NA,Subvenciones 2019,NA,127,4
10.3886/e100361v1-136280,National Science Foundation,NA,NA,SES-1324000,NA,220,1
10.6084/m9.figshare.26737455,NA,NA,NA,NA,NA,1,NA
10.6084/m9.figshare.26737455.v1,NA,NA,NA,NA,NA,2,NA
10.6084/m9.figshare.26737452,NA,NA,NA,NA,NA,3,NA
10.6084/m9.figshare.26737452.v1,NA,NA,NA,NA,NA,4,NA
10.6084/m9.figshare.26082696,NA,NA,NA,NA,NA,5,NA
10.6084/m9.figshare.26082696.v1,NA,NA,NA,NA,NA,6,NA
10.6084/m9.figshare.24499342,NA,NA,NA,NA,NA,7,NA
10.6084/m9.figshare.24499342.v1,NA,NA,NA,NA,NA,8,NA
10.6084/m9.figshare.26728348,NA,NA,NA,NA,NA,9,NA
10.6084/m9.figshare.26728345.v1,NA,NA,NA,NA,NA,10,NA
10.6084/m9.figshare.26728345,NA,NA,NA,NA,NA,11,NA
10.6084/m9.figshare.26728348.v1,NA,NA,NA,NA,NA,12,NA
10.6084/m9.figshare.26695164,NA,NA,NA,NA,NA,13,NA
10.6084/m9.figshare.26695164.v1,NA,NA,NA,NA,NA,14,NA
10.6084/m9.figshare.26605141,NA,NA,NA,NA,NA,15,NA
10.6084/m9.figshare.26605144.v1,NA,NA,NA,NA,NA,16,NA
10.6084/m9.figshare.26605141.v1,NA,NA,NA,NA,NA,17,NA
10.6084/m9.figshare.26605144,NA,NA,NA,NA,NA,18,NA
10.5061/dryad.n8pk0p338,NA,NA,NA,NA,NA,21,NA
10.5281/zenodo.11402713,NA,NA,NA,NA,NA,22,NA
10.5281/zenodo.12629557,NA,NA,NA,NA,NA,23,NA
10.5281/zenodo.12629522,NA,NA,NA,NA,NA,24,NA
10.5281/zenodo.12629468,NA,NA,NA,NA,NA,25,NA
10.5281/zenodo.11402714,NA,NA,NA,NA,NA,26,NA
10.5061/dryad.76hdr7t4g,NA,NA,NA,NA,NA,27,NA
10.5061/dryad.37pvmcvtn,NA,NA,NA,NA,NA,28,NA
10.3886/e204941v1,NA,NA,NA,NA,NA,29,NA
10.3886/e204941,NA,NA,NA,NA,NA,30,NA
10.5061/dryad.vhhmgqnw3,NA,NA,NA,NA,NA,31,NA
10.5281/zenodo.11099762,NA,NA,NA,NA,NA,38,NA
10.5281/zenodo.11099763,NA,NA,NA,NA,NA,39,NA
10.5061/dryad.6djh9w172,Fritz Knopf*,NA,NA,NA,NA,43,1
10.5061/dryad.7h44j101d,Johnson’s Family Forest Biotechnology Endowment*,NA,NA,NA,NA,44,2
10.5061/dryad.cjsxksncq,E. Paul and Helen Buck Waggoner Foundation*,NA,NA,NA,NA,45,1
10.5061/dryad.83bk3j9x1,W.T. Waggoner Estate*,NA,NA,NA,NA,53,2
10.5061/dryad.m37pvmd71,Grace Hopper College Richter Summer Fellowship*,NA,NA,NA,NA,54,5
10.5061/dryad.k6djh9wbs,Oklahoma Cooperative Fish and Wildlife Research Unit*,NA,NA,NA,NA,56,1
10.5061/dryad.1g1jwsv1f,Groendyke Endowment*,NA,NA,NA,NA,59,2
10.5061/dryad.1g1jwsv1f,Bollenbach Endowment*,NA,NA,NA,NA,59,3
10.5061/dryad.12jm63z25,Minnesota Sports Facilities Authority*,NA,NA,NA,NA,64,1
10.5061/dryad.12jm63z25,"Minnesota Vikings, LLC*",NA,NA,NA,NA,64,2
10.5061/dryad.kd51c5b95,NA,NA,NA,NA,NA,66,NA
10.5061/dryad.r4xgxd2gw,NA,NA,NA,NA,NA,70,NA
10.5061/dryad.tx95x6b1t,Oklahoma State University startup funds*,NA,NA,NA,NA,74,1
10.5061/dryad.pzgmsbcpx,Oklahoma State University Hatch*,NA,NA,NA,NA,76,3
10.5061/dryad.pzgmsbcpx,University of Wyoming Agricultural Experiment Station*,NA,NA,NA,NA,76,4
10.5061/dryad.cvdncjt6f,Groendyke Endowement*,NA,NA,NA,NA,79,3
10.5061/dryad.cvdncjt6f,Bollenbach Endowment*,NA,NA,NA,NA,79,4
10.5061/dryad.c2fqz61b6,NA,NA,NA,NA,NA,81,NA
10.5061/dryad.n02v6wx0d,Groendyke Endowement*,NA,NA,NA,NA,82,3
10.5061/dryad.n02v6wx0d,Bollenbach Endowment*,NA,NA,NA,NA,82,4
10.5061/dryad.5dv41ns7m,NA,NA,NA,NA,NA,84,NA
10.6078/d1142q,North American Bluebird Society*,NA,NA,NA,NA,85,1
10.6078/d1142q,New York State Bluebird Society*,NA,NA,NA,NA,85,2
10.6078/d1142q,Oklahoma Ornithological Society*,NA,NA,NA,NA,85,4
10.6078/d1142q,Louis Stokes Alliance for Minority Participation*,NA,NA,NA,NA,85,5
10.5061/dryad.3xsj3txj3,NA,NA,NA,NA,NA,86,NA
10.5061/dryad.sxksn034z,NA,NA,NA,NA,NA,89,NA
10.25338/b8m62w,NA,NA,NA,NA,NA,91,NA
10.5061/dryad.05qfttf3w,Pine Cay Homeowners Association*,NA,NA,NA,NA,93,1
10.25338/b81m00,NA,NA,NA,NA,NA,95,NA
10.5061/dryad.9kd51c5hz,NA,NA,NA,NA,NA,96,NA
10.25338/b8sh0s,UC Davis Chancellor’s postdoc fellowship*,NA,NA,NA,NA,107,2
10.5061/dryad.nzs7h44rd,NA,NA,NA,NA,NA,108,NA
10.25338/b8n33j,NA,NA,NA,NA,NA,112,NA
10.5061/dryad.4qrfj6q8x,NA,NA,NA,NA,NA,113,NA
10.5061/dryad.dz08kprwg,NA,NA,NA,NA,NA,115,NA
10.5061/dryad.31zcrjdjr,Boone and Crockett Club*,NA,NA,NA,NA,117,7
10.5061/dryad.31zcrjdjr,Bowhunters of Wyoming*,NA,NA,NA,NA,117,8
10.5061/dryad.31zcrjdjr,Environment Yukon*,NA,NA,NA,NA,117,9
10.5061/dryad.31zcrjdjr,James E. Ellis Memorial Scholarship*,NA,NA,NA,NA,117,11
10.5061/dryad.31zcrjdjr,Lord Kelvin Adam Smith Fellowship*,NA,NA,NA,NA,117,13
10.5061/dryad.31zcrjdjr,PacifiCorp*,NA,NA,NA,NA,117,15
10.5061/dryad.31zcrjdjr,Sierra Trading Post*,NA,NA,NA,NA,117,17
10.5061/dryad.31zcrjdjr,Wyoming Animal Damage Management Board*,NA,NA,NA,NA,117,21
10.5061/dryad.31zcrjdjr,Wyoming Game and Fish Department*,NA,NA,NA,NA,117,22
10.5061/dryad.31zcrjdjr,Wyoming Governor's Big Game License Coalition*,NA,NA,NA,NA,117,23
10.5061/dryad.31zcrjdjr,Wyoming Outfitters and Guides Association*,NA,NA,NA,NA,117,24
10.5061/dryad.31zcrjdjr,Wyoming Wild Sheep Foundation*,NA,NA,NA,NA,117,25
10.5061/dryad.31zcrjdjr,Boone and Crockett Club,NA,NA,NA,NA,117,27
10.5061/dryad.31zcrjdjr,Bowhunters of Wyoming,NA,NA,NA,NA,117,28
10.5061/dryad.31zcrjdjr,Environment Yukon,NA,NA,NA,NA,117,29
10.5061/dryad.31zcrjdjr,James E. Ellis Memorial Scholarship,NA,NA,NA,NA,117,30
10.5061/dryad.31zcrjdjr,Lord Kelvin Adam Smith Fellowship,NA,NA,NA,NA,117,31
10.5061/dryad.31zcrjdjr,PacifiCorp,NA,NA,NA,NA,117,32
10.5061/dryad.31zcrjdjr,Sierra Trading Post,NA,NA,NA,NA,117,33
10.5061/dryad.31zcrjdjr,Wyoming Animal Damage Management Board,NA,NA,NA,NA,117,34
10.5061/dryad.31zcrjdjr,Wyoming Game and Fish Department,NA,NA,NA,NA,117,35
10.5061/dryad.31zcrjdjr,Wyoming Governor's Big Game License Coalition,NA,NA,NA,NA,117,36
10.5061/dryad.31zcrjdjr,Wyoming Outfitters and Guides Association,NA,NA,NA,NA,117,37
10.5061/dryad.31zcrjdjr,Wyoming Wild Sheep Foundation,NA,NA,NA,NA,117,38
10.5061/dryad.b2rbnzsd2,NA,NA,NA,NA,NA,118,NA
10.5061/dryad.70rxwdbvq,NA,NA,NA,NA,NA,126,NA
10.5061/dryad.05qfttf12,NA,NA,NA,NA,NA,128,NA
10.5061/dryad.ngf1vhhrd,NA,NA,NA,NA,NA,130,NA
10.5061/dryad.kd51c5b2z,NA,NA,NA,NA,NA,131,NA
10.5061/dryad.wm37pvmj9,NA,NA,NA,NA,NA,132,NA
10.25338/b8090k,NA,NA,NA,NA,NA,135,NA
10.5061/dryad.djh9w0vw5,NA,NA,NA,NA,NA,136,NA
10.5061/dryad.nk98sf7pz,Animal Health Foundation,NA,NA,NA,NA,137,1
10.5061/dryad.gb5mkkwkf,NA,NA,NA,NA,NA,138,NA
10.5061/dryad.d7wm37px9,NA,NA,NA,NA,NA,139,NA
10.5061/dryad.m60f221,NA,NA,NA,NA,NA,140,NA
10.5061/dryad.60vb576,NA,NA,NA,NA,NA,141,NA
10.5061/dryad.456f3,NA,NA,NA,NA,NA,142,NA
10.5061/dryad.723m1,NA,NA,NA,NA,NA,143,NA
10.5061/dryad.r471vs43,NA,NA,NA,NA,NA,144,NA
10.5061/dryad.203pf67,NA,NA,NA,NA,NA,145,NA
10.5061/dryad.1j6sk,NA,NA,NA,NA,NA,146,NA
10.5061/dryad.th092,NA,NA,NA,NA,NA,147,NA
10.5061/dryad.h8j76,NA,NA,NA,NA,NA,148,NA
10.5061/dryad.789s8j9,NA,NA,NA,NA,NA,149,NA
10.5061/dryad.2qj6g41,NA,NA,NA,NA,NA,151,NA
10.5061/dryad.9m771,NA,NA,NA,NA,NA,152,NA
10.5061/dryad.r3s14,NA,NA,NA,NA,NA,154,NA
10.5061/dryad.50kt0,NA,NA,NA,NA,NA,156,NA
10.5061/dryad.9js92,NA,NA,NA,NA,NA,157,NA
10.5061/dryad.t1d8k,NA,NA,NA,NA,NA,158,NA
10.5061/dryad.2d960,NA,NA,NA,NA,NA,160,NA
10.5061/dryad.0ns10,NA,NA,NA,NA,NA,161,NA
10.5061/dryad.hb87k,NA,NA,NA,NA,NA,162,NA
10.5061/dryad.hd7tm,NA,NA,NA,NA,NA,164,NA
10.5061/dryad.22k3c,NA,NA,NA,NA,NA,165,NA
10.5061/dryad.13173,NA,NA,NA,NA,NA,166,NA
10.5061/dryad.sj168561,NA,NA,NA,NA,NA,167,NA
10.5061/dryad.q405j,NA,NA,NA,NA,NA,168,NA
10.5061/dryad.43pv1,NA,NA,NA,NA,NA,169,NA
10.5061/dryad.pm8p741,NA,NA,NA,NA,NA,171,NA
10.5061/dryad.2pn59,NA,NA,NA,NA,NA,172,NA
10.5061/dryad.k3v6h,NA,NA,NA,NA,NA,173,NA
10.5061/dryad.7sr33,NA,NA,NA,NA,NA,174,NA
10.5061/dryad.nt2211q,NA,NA,NA,NA,NA,175,NA
10.5061/dryad.jq16r,NA,NA,NA,NA,NA,176,NA
10.5061/dryad.3f765,NA,NA,NA,NA,NA,177,NA
10.5061/dryad.k4m41,NA,NA,NA,NA,NA,178,NA
10.5061/dryad.2vk43,NA,NA,NA,NA,NA,179,NA
10.5061/dryad.7cn23,NA,NA,NA,NA,NA,180,NA
10.5061/dryad.1768j,NA,NA,NA,NA,NA,181,NA
10.5061/dryad.63th8,NA,NA,NA,NA,NA,182,NA
10.5061/dryad.84r5q,NA,NA,NA,NA,NA,183,NA
10.5061/dryad.c063r,NA,NA,NA,NA,NA,184,NA
10.5061/dryad.1h8402s6,NA,NA,NA,NA,NA,185,NA
10.5061/dryad.8735,NA,NA,NA,NA,NA,186,NA
10.5061/dryad.8kb37,NA,NA,NA,NA,NA,187,NA
10.5061/dryad.12bd9,NA,NA,NA,NA,NA,188,NA
10.5061/dryad.vk048,NA,NA,NA,NA,NA,189,NA
10.5061/dryad.mr401g7,NA,NA,NA,NA,NA,190,NA
10.6084/m9.figshare.21371469.v1,NA,NA,NA,NA,NA,191,NA
10.5281/zenodo.10625003,NA,NA,NA,NA,NA,192,NA
10.5281/zenodo.10625004,NA,NA,NA,NA,NA,193,NA
10.6084/m9.figshare.16786857,NA,NA,NA,NA,NA,195,NA
10.6084/m9.figshare.16786857.v1,NA,NA,NA,NA,NA,196,NA
10.5281/zenodo.10570541,NA,NA,NA,NA,NA,197,NA
10.5281/zenodo.10553162,NA,NA,NA,NA,NA,198,NA
10.5281/zenodo.10553163,NA,NA,NA,NA,NA,199,NA
10.3886/e195368v1,NA,NA,NA,NA,NA,200,NA
10.3886/e195368,NA,NA,NA,NA,NA,201,NA
10.5281/zenodo.10060904,NA,NA,NA,NA,NA,202,NA
10.5281/zenodo.10060903,NA,NA,NA,NA,NA,203,NA
10.5066/p9qftk1d,NA,NA,NA,NA,NA,204,NA
10.26208/gkrr-f864,NA,NA,NA,NA,NA,205,NA
10.5281/zenodo.8246708,NA,NA,NA,NA,NA,206,NA
10.5281/zenodo.8256924,NA,NA,NA,NA,NA,207,NA
10.5281/zenodo.8246709,NA,NA,NA,NA,NA,208,NA
10.6084/m9.figshare.20334537.v2,NA,NA,NA,NA,NA,209,NA
10.6084/m9.figshare.20334537,NA,NA,NA,NA,NA,210,NA
10.6084/m9.figshare.20334537.v3,NA,NA,NA,NA,NA,211,NA
10.6084/m9.figshare.20334537.v1,NA,NA,NA,NA,NA,212,NA
10.3886/e191823,NA,NA,NA,NA,NA,213,NA
10.3886/e191823v2,NA,NA,NA,NA,NA,214,NA
10.3886/e191823v1,NA,NA,NA,NA,NA,215,NA
10.5281/zenodo.7930652,NA,NA,NA,NA,NA,216,NA
10.5281/zenodo.7930653,NA,NA,NA,NA,NA,217,NA
10.15485/1873618,NA,NA,NA,NA,NA,218,NA
10.5066/p9kwj8w7,NA,NA,NA,NA,NA,219,NA
10.15485/1454272,NA,NA,NA,NA,NA,221,NA
10.15485/1454271,NA,NA,NA,NA,NA,222,NA
10.15485/1454270,NA,NA,NA,NA,NA,223,NA
10.15485/1440544,NA,NA,NA,NA,NA,224,NA
10.15485/1439886,NA,NA,NA,NA,NA,225,NA
10.6084/m9.figshare.21968603,NA,NA,NA,NA,NA,226,NA
10.6084/m9.figshare.21968603.v1,NA,NA,NA,NA,NA,227,NA
10.5281/zenodo.7477127,NA,NA,NA,NA,NA,228,NA
10.5281/zenodo.7442894,NA,NA,NA,NA,NA,229,NA
10.6084/m9.figshare.21200647.v1,NA,NA,NA,NA,NA,230,NA
10.6084/m9.figshare.21200647,NA,NA,NA,NA,NA,231,NA
10.5281/zenodo.6813959,NA,NA,NA,NA,NA,232,NA
10.5281/zenodo.6813960,NA,NA,NA,NA,NA,233,NA
10.6084/m9.figshare.20267296,NA,NA,NA,NA,NA,234,NA
10.6084/m9.figshare.20267296.v1,NA,NA,NA,NA,NA,235,NA
10.6084/m9.figshare.20070805,NA,NA,NA,NA,NA,236,NA
10.6084/m9.figshare.20070805.v1,NA,NA,NA,NA,NA,237,NA
10.5281/zenodo.6641965,NA,NA,NA,NA,NA,238,NA
10.5281/zenodo.6641966,NA,NA,NA,NA,NA,239,NA
10.7267/z890s2587,NA,NA,NA,NA,NA,240,NA
10.21429/11ve-8h09,NA,NA,NA,NA,NA,241,NA
10.6084/m9.figshare.19825096.v1,NA,NA,NA,NA,NA,242,NA
10.6084/m9.figshare.19825075.v1,NA,NA,NA,NA,NA,243,NA
10.6084/m9.figshare.19354481.v1,NA,NA,NA,NA,NA,244,NA
10.6084/m9.figshare.19354481.v2,NA,NA,NA,NA,NA,245,NA
10.6084/m9.figshare.19747621.v1,NA,NA,NA,NA,NA,246,NA
10.3886/icpsr36585,American Political Science Association,NA,NA,NA,NA,247,1
10.3886/icpsr36585.v1,American Political Science Association,NA,NA,NA,NA,248,1
10.5281/zenodo.6468841,NA,NA,NA,NA,NA,249,NA
10.5281/zenodo.6468842,NA,NA,NA,NA,NA,250,NA
10.5281/zenodo.6468753,NA,NA,NA,NA,NA,251,NA
10.5281/zenodo.6468754,NA,NA,NA,NA,NA,252,NA
10.5281/zenodo.6468598,NA,NA,NA,NA,NA,253,NA
10.5281/zenodo.6468599,NA,NA,NA,NA,NA,254,NA
10.6084/m9.figshare.19549895.v1,NA,NA,NA,NA,NA,255,NA
10.6084/m9.figshare.19549895,NA,NA,NA,NA,NA,256,NA
10.6084/m9.figshare.19426223.v1,NA,NA,NA,NA,NA,257,NA
10.5281/zenodo.1217716,NA,NA,NA,NA,NA,260,NA
10.5281/zenodo.1217715,NA,NA,NA,NA,NA,261,NA
10.3886/e100361v1,National Science Foundation,NA,NA,NA,NA,262,1
10.3886/icpsr36584.v1,Dirksen Congressional Center,NA,NA,NA,NA,263,1
10.3886/icpsr36584.v1,Caterpillar Foundation,NA,NA,NA,NA,263,2
10.3886/icpsr36584,Dirksen Congressional Center,NA,NA,NA,NA,264,1
10.3886/icpsr36584,Caterpillar Foundation,NA,NA,NA,NA,264,2
10.5281/zenodo.3522061,NA,NA,NA,NA,NA,265,NA
10.5281/zenodo.3522060,NA,NA,NA,NA,NA,266,NA
10.5281/zenodo.3473161,NA,NA,NA,NA,NA,267,NA
10.5281/zenodo.3473160,NA,NA,NA,NA,NA,268,NA
10.5281/zenodo.3473193,NA,NA,NA,NA,NA,269,NA
10.5281/zenodo.3473192,NA,NA,NA,NA,NA,270,NA
10.3886/e111746v1-13687,NA,NA,NA,NA,NA,271,NA
10.3886/e111746v1-13683,NA,NA,NA,NA,NA,272,NA
10.3886/e111746,NA,NA,NA,NA,NA,273,NA
10.3886/e111746v1,NA,NA,NA,NA,NA,274,NA
10.5281/zenodo.3403285,NA,NA,NA,NA,NA,275,NA
10.5281/zenodo.3380550,NA,NA,NA,NA,NA,276,NA
10.5281/zenodo.3380517,NA,NA,NA,NA,NA,277,NA
10.5281/zenodo.3237604,NA,NA,NA,NA,NA,278,NA
10.5281/zenodo.3237605,NA,NA,NA,NA,NA,279,NA
10.5281/zenodo.2255287,NA,NA,NA,NA,NA,280,NA
10.5281/zenodo.2255286,NA,NA,NA,NA,NA,281,NA
10.5281/zenodo.2230568,NA,NA,NA,NA,NA,282,NA
10.5281/zenodo.2230567,NA,NA,NA,NA,NA,283,NA
10.5063/aa/obfs2.389.1,NA,NA,NA,NA,NA,284,NA
